indicator,source,series_id,countries,year_min,year_max,license,direction,anchor,coverage_pct,flags
unhcr_refugees_by_coa,UNHCR Population Statistics API,unhcr_refugees_by_coa,182,2010,2025,Open / CC BY (attribution required),high_risk,"[0.0, 5000.0] persons per 100k population",93.3,
unhcr_refugees_by_coo,UNHCR Population Statistics API,unhcr_refugees_by_coo,193,2010,2025,Open / CC BY (attribution required),high_risk,"[0.0, 5000.0] persons per 100k population",99.0,
unhcr_stateless_by_country,UNHCR Population Statistics API,unhcr_stateless_by_country,182,2010,2025,Open / CC BY (attribution required),high_risk,"[0.0, 5000.0] persons per 100k population",93.3,
lnr_statelessness_prevalence,UNHCR Population Statistics API (re-used via data/processed/unhcr.csv),unhcr_stateless_by_country,182,2010,2025,Open / CC BY (attribution required),high_risk,"[0.0, 5000.0] persons per 100k population (re-used from UNHCR connector)",93.3,"RE-USED-NOT-REPULLED: D2 statelessness reads the already-standardized `unhcr_stateless_by_country` column from data/processed/unhcr.csv (data-stage correlation de-dup -- UNHCR connector owns the pull). SUPPRESSION/NON-RANDOM-MISSING (Strode et al. 2021; docs/METHODS.md): an absent/suppressed figure is DROPPED, NEVER -> 0; opacity can never lower the score; rows resting on D1 alone are marked low-confidence."
v2x_rule,V-Dem Country-Year Core v16,v2x_rule,173,2015,2025,CC BY 4.0,low_risk,"[0.0, 1.0] interval 0-1 (higher = better)",88.7,"V-Dem codes unmatched to ISO3 (dropped, non-FLSRI sub-units): PSG (Palestine/Gaza), SML (Somaliland)"
v2xcl_dmove,V-Dem Country-Year Core v16,v2xcl_dmove,173,2015,2025,CC BY 4.0,low_risk,"[0.0, 1.0] interval 0-1 (higher = freer)",88.7,"V-Dem codes unmatched to ISO3 (dropped, non-FLSRI sub-units): PSG (Palestine/Gaza), SML (Somaliland)"
v2xcl_slave,V-Dem Country-Year Core v16,v2xcl_slave,173,2015,2025,CC BY 4.0,low_risk,"[0.0, 1.0] interval 0-1 (higher = freer)",88.7,"V-Dem codes unmatched to ISO3 (dropped, non-FLSRI sub-units): PSG (Palestine/Gaza), SML (Somaliland)"
v2xnp_client,V-Dem Country-Year Core v16,v2xnp_client,173,2015,2025,CC BY 4.0,high_risk,"[0.0, 1.0] interval 0-1 (REVERSED: higher = MORE clientelism = worse)",88.7,"V-Dem codes unmatched to ISO3 (dropped, non-FLSRI sub-units): PSG (Palestine/Gaza), SML (Somaliland)"
gs_lfp_gender_gap,World Bank (Gender Statistics / WDI / Women Business and the Law),SL.TLF.CACT.MA.ZS - SL.TLF.CACT.FE.ZS (male-minus-female LFP),179,2021,2025,CC BY 4.0,high_risk,"[0.0, 50.0] male-minus-female labour-force-participation gap (pct points, pop 15+)",91.8,"GAP-SOURCE (Gender Structuring D1.s1.1). GENDERED GAP, not a level (anti-double-count vs Economic Precarity; see docs/METHODS.md). Modelled ILO LFP estimates differenced; negative gaps (female>male) clamp to 0. Screen D1 collinearity vs Economic Precarity (see docs/METHODS.md)."
gs_mobility_constraint,World Bank (Gender Statistics / WDI / Women Business and the Law),"GD_WBL_MOB_LAW_T (WBL Legal Framework, Mobility score)",186,2025,2025,CC BY 4.0,low_risk,"[0.0, 100.0] WBL Legal Framework, Mobility score (0-100)",95.4,"GAP-SOURCE (Gender Structuring D2.s2.2). Standing codified mobility-constraint signal; direction LOW_RISK (high legal-mobility score = low constraint, inverted). CHO-GATE-NOT-APPLIED: the c_mob mobility-enablement condition (the Cho 2015 non-monotonicity gate) is a DOWNSTREAM formula step -- this connector delivers the raw standing-constraint signal only; D2 must NOT enter linearly. Screen D2 vs Constrained Mobility collinearity (see docs/METHODS.md)."
findex_account_exclusion,World Bank Global Findex Database 2025,GlobalFindexDatabase2025.csv:account_t_d(1-x),158,2011,2024,CC BY 3.0 IGO (World Bank open data; attribution required),high_risk,"[0.0, 1.0] share of adults with no financial account (0-1)",81.0,"VINTAGE-MIX: 21 country values fall back to a pre-2024 wave (latest available per country, 2011-2024); the rest are 2024 -- re-examine staleness at data-stage review"
findex_borrow_prevalence,World Bank Global Findex Database 2025,GlobalFindexDatabase2025.csv:borrow_any_t_d,115,2011,2024,CC BY 3.0 IGO (World Bank open data; attribution required),high_risk,"[0.0, 1.0] share of adults who borrowed any money in the past year (0-1)",59.0,"VINTAGE-MIX: 18 country values fall back to a pre-2024 wave (latest available per country, 2011-2024); the rest are 2024 -- re-examine staleness at data-stage review; PROXY: standing borrowing prevalence, NOT a debt-service-distress (DSTI) measure -- Findex has no over-indebtedness series; low-confidence direction, surfaced for review"
findex_informal_borrowing,World Bank Global Findex Database 2025,GlobalFindexDatabase2025.csv:fin22b+fin22c,115,2011,2024,CC BY 3.0 IGO (World Bank open data; attribution required),high_risk,"[0.0, 1.0] share of adults borrowing from informal sources (0-1)",59.0,"VINTAGE-MIX: 18 country values fall back to a pre-2024 wave (latest available per country, 2011-2024); the rest are 2024 -- re-examine staleness at data-stage review; UPPER-BOUND: fin22b + fin22c summed and clamped to [0,1] (a person can use both informal sources) -- re-examine ceiling vs observed distribution at data-stage review"
monet_b_financial_exclusion,World Bank Global Findex Database 2025,account_t_d,158,2011,2024,CC BY 3.0 IGO (World Bank open data; attribution required),high_risk,"[0.0, 1.0] share of adults with no financial account (0-1)",81.0,"PRODUCT-1-CONDITIONAL: Domain B is Product-2 by default (scoring rule 7); Product-1 inclusion is subject to the three-condition test (non-circular indicator; separable local slice; controllable normative-split gate -- docs/METHODS.md) and is NOT resolved at the data layer. The criminal-proceeds-context gate (c_proceeds) and the coercion-context gate (c_coercion) are UNWIRED here -- raw signal capacity only, gating applied downstream; DUPLICATE-OF-FINDEX: same variable as Recruitment-Debt's findex_account_exclusion (1 - account_t_d). SHARED cross-domain signal -- the data-stage correlation screen must de-duplicate the shared variance; do NOT double-count across Recruitment-Debt and Monetization-B; CONNECTING-FLAG: financial exclusion connects -> Recruitment Debt domain; scored in Monetization (D2 s2.1) form only; DEFEATER-NOTE: this exclusion signal is the inverse of Domain B's z.1 inclusion DEFEATER -- the defeater is applied downstream at aggregation, not double-entered here; SHARED-CONNECTOR: reads the same Findex direct upload as findex.py; does not rebuild the sibling connector"
monet_b_shadow_economy,"World Bank Informal Economy Database (Elgin, Kose, Ohnsorge & Yu) [WB_INFECDB_DGE_P]",WB_INFECDB_DGE_P,156,2020,2020,"World Bank open data (CC BY 4.0); cite Elgin et al. 2021 ""Understanding Informality""",high_risk,"[8.0, 50.0] shadow economy, % of official GDP (DGE estimate)",80.0,"PRIOR-ANCHOR: floor/ceiling are a data-stage starting point -- re-examine; PRODUCT-1-CONDITIONAL: Domain B is Product-2 by default (scoring rule 7); Product-1 inclusion is subject to the three-condition test (non-circular indicator; separable local slice; controllable normative-split gate -- docs/METHODS.md) and is NOT resolved at the data layer. The criminal-proceeds-context gate (c_proceeds) and the coercion-context gate (c_coercion) are UNWIRED here -- raw signal capacity only, gating applied downstream; CONNECTING-FLAG: shadow/informal economy connects -> Exploitation informality reading; scored in Monetization (retention) form only -- cross-phase de-dup is a data-stage correlation/synthesis step; OWNED-CONNECTOR: WB Informal Economy DB (data360 API, live)"
ep_agrarian_employment_share,World Bank WDI,SL.AGR.EMPL.ZS,179,2021,2025,CC BY 4.0,high_risk,"[0.0, 80.0] % of total employment in agriculture",91.8,"GAP-FILL (Econ Precarity D3 agrarian concentration, S3b). Employment in agriculture (% of total employment), ILO-modelled, mirrored on WB. S3b ONLY: landlessness / land-tenure insecurity (S3a) has NO publish-safe global panel and is a flagged HARD GAP -- not fabricated; D3 rests on this single agrarian-concentration signal, surfaced low-confidence at the driver level (docs/METHODS.md)."
ep_income_volatility,World Bank WDI,NY.GDP.MKTP.KD.ZG,193,1993,2024,CC BY 4.0,high_risk,"[0.0, 8.0] std-dev of annual real GDP growth (pct points), recent ~15-yr window",99.0,"GAP-FILL (Econ Precarity D5 volatility). STRUCTURAL PROXY = std dev of annual real GDP growth over the recent 15-yr window (>= 5 obs). NOT yet residual-scoped net of named hazards (docs/METHODS.md, condition c_C) -- residual decomposition vs. Structural Disruption is a downstream formula step, flagged not applied."
ep_poverty_headcount_215_NOTE,World Bank WDI,SI.POV.DDAY,170,1992,2025,CC BY 4.0,high_risk,"[0,100] % below $2.15/day (2017 PPP)",87.2,NOTE-ROW / NOT-SCORED: alternate extreme-poverty line kept so data-stage review can swap the chosen $6.85 (UMIC) line. NOT in the risk table.
ep_poverty_headcount_365_NOTE,World Bank WDI,SI.POV.LMIC,170,1992,2025,CC BY 4.0,high_risk,"[0,100] % below $3.65/day (2017 PPP)",87.2,NOTE-ROW / NOT-SCORED: alternate lower-middle-income poverty line kept for data-stage review. NOT in the risk table.
ep_poverty_headcount_685,World Bank WDI,SI.POV.UMIC,170,1992,2025,CC BY 4.0,high_risk,"[0.0, 100.0] % of population below $6.85/day (2017 PPP)",87.2,GAP-FILL (Econ Precarity D1 poverty). $6.85/day (UMIC) line chosen over $2.15 for the lower-middle pickable stratum (docs/METHODS.md); non-monotone middle-stratum reading is a DOWNSTREAM signal-construction step (docs/METHODS.md) -- this connector delivers the raw headcount.
lnr_birth_registration_incompleteness,World Bank WDI (UNICEF/UNSD CRVS / SDG 16.9.1 birth-registration completeness),SP.REG.BRTH.ZS,178,2006,2022,CC BY 4.0,low_risk,"[0.0, 100.0] % of births registered (completeness)",91.3,"SINGLE-HOME: this is the SOLE scored home for birth-registration completeness (ceded by Age/Childhood Structuring + Ascriptive Exclusion; docs/METHODS.md). Do NOT score it in a sibling domain.; NON-RANDOM-MISSING: ~17 mostly high-income/small states lack a survey value (de-facto-universal registration). Per rule 9 they are DROPPED, NOT imputed to 100% -- never fabricate 'registered'; low-confidence there.; ANCHOR-PRIOR: raw scale floor=0%/ceiling=100%, direction low_risk inverts ONCE so 100%=0 risk and 0%=1 risk; risk signal is un-registered share. Re-examine at data-stage review."
esd_d1_hazardous_sector_share,"World Bank WDI (employment by sector, modelled ILO estimate)",SL.AGR.EMPL.ZS,179,2021,2025,CC BY 4.0,high_risk,"[0.0, 60.0] employment in agriculture, % of total employment",91.8,
age_child_cohort_share,World Bank WDI (mirrors ILO/UNICEF SDG series),SP.POP.0014.TO.ZS,194,2024,2024,CC BY 4.0,high_risk,"[10.0, 50.0] % of total population ages 0-14",99.5,PROXY: WDI carries no clean 15-24 school-to-work band share; the 0-14 share is the available structural cohort-weight proxy. Condition-A youth-boundary ramp (docs/METHODS.md) is a downstream formula gate.
age_child_labor_prevalence,World Bank WDI (mirrors ILO/UNICEF SDG series),SL.TLF.0714.ZS,92,2005,2016,CC BY 4.0,high_risk,"[0.0, 40.0] % of children ages 7-14 in employment",47.2,"BELOW-COVERAGE-FLOOR (92/195 = 47%; floor 50%/min 2) -- low-confidence; STANDING-NOT-REALIZED: read as child-work pool size, not realized trafficking/worst-forms (anti-circularity gate; docs/METHODS.md)"
age_child_marriage_rate,World Bank WDI (mirrors ILO/UNICEF SDG series),SP.M18.2024.FE.ZS,139,2006,2023,CC BY 4.0,high_risk,"[0.0, 60.0] % of women ages 20-24 first married by age 18",71.3,"MECHANISM-SOURCE-GAP (docs/METHODS.md): the prevalence DATA exists and is wired, but the child-marriage -> forced-labor MECHANISM source at the mechanism bar is still a pending decision; whether S3.2 is RETAINED in D3 scoring depends on that mechanism review -- flagged for review."
age_out_of_school_rate,World Bank WDI (mirrors ILO/UNICEF SDG series),SE.SEC.UNER.LO.ZS,179,2005,2024,CC BY 4.0,high_risk,"[0.0, 60.0] % of lower-secondary-age adolescents out of school",91.8,
wb_bribery_incidence,World Bank WDI + WGI,IC.FRM.BRIB.ZS,175,2007,2025,CC BY 4.0,high_risk,"[0.0, 60.0] % of firms experiencing at least one bribe payment request",89.7,
wb_gini,World Bank WDI + WGI,SI.POV.GINI,170,1992,2025,CC BY 4.0,high_risk,"[20.0, 65.0] Gini index (0-100)",87.2,
wb_labor_productivity,World Bank WDI + WGI,SL.GDP.PCAP.EM.KD,173,2021,2024,CC BY 4.0,low_risk,"[785.0, 119601.0] GDP per person employed (constant 2017 PPP $)",88.7,
wb_lower_secondary_completion,World Bank WDI + WGI,SE.SEC.CMPT.LO.ZS,184,1986,2025,CC BY 4.0,low_risk,"[0.0, 100.0] % of relevant age group",94.4,
wb_population_total,World Bank WDI + WGI,SP.POP.TOTL,194,2024,2024,CC BY 4.0,n/a (denominator),n/a (denominator),99.5,"DENOMINATOR: population is the per-capita denominator for other indicators, NOT a forced-labor risk indicator; not scaled to 0-1 and not in the risk table"
wb_remittances_pct_gdp,World Bank WDI + WGI,BX.TRF.PWKR.DT.GD.ZS,187,1983,2024,CC BY 4.0,high_risk,"[0.0, 35.0] personal remittances received, % of GDP",95.9,
wb_wgi_rule_of_law,World Bank WDI + WGI,GOV_WGI_RL.EST,194,2024,2024,CC BY 4.0,low_risk,"[-2.5, 2.5] WGI Rule of Law governance estimate (-2.5..+2.5)",99.5,
basel_1.11_component_count_flag,component-count flag (design decision 1.11(e)),n/a (note row),n/a,n/a,n/a,n/a,n/a (note row),n/a (note row),n/a,"NOTE-ROW / design decision 1.11(e) -- DATA-STAGE CALL: the surviving corruption/financial-integrity COMPONENT COUNT (governance backbone x FATF-ME x FSI) is a data-stage correlation/collinearity decision (docs/scoring-rules.md rule 4 / rule 8). Pending decision: compute the correlation matrix + rank-stability pass before keeping FATF-ME and FSI as distinct entries (placeholder ~r<0.6-0.7 keep / ~r>=0.85 merge)."
fe_collinearity_falsifier_DATACORR,data-stage correlation carried flag (Foreclosed Exit),n/a (note row),n/a,,,n/a,n/a (note row),n/a (note row),n/a,"CARRIED FLAG for data-stage correlation screen: Foreclosed-Exit-exit-cost (D1 labour-market monopsony) vs Economic Structure & Demand DEMAND signals + ESD's product-market buyer-concentration (esd_d3) COLLINEARITY FALSIFIER. Conceptual case = independent variation (Naidu et al. 2016; Manning). The data-stage screen must compute the correlation BEFORE freeze: if r high, flag MERGE of Foreclosed Exit into Economic Structure & Demand for review (docs/METHODS.md §9.1). Reuse the governance-section collinearity method (rule 8). NOTE: D1 spine being unsourceable (row above) may make this falsifier untestable directly -- if so the merge call rests on the proxy outcome, flag jointly. Pending decision."
basel_1.11_exclusions,exclusions register (design decision 1.11(d)),n/a (note row),n/a,n/a,n/a,n/a,n/a (note row),n/a (note row),n/a,NOTE-ROW / design decision 1.11(d) -- EXCLUSIONS (circular or governance-backbone duplicates scored once globally; do NOT ingest as financial-integrity signals): US TIP Report (trafficking-circular); CPI; TRACE; WJP; Freedom House; WEF; RWB; GI-TOC org-crime outcome measures. basel_aml_overall + basel_aml_cft_framework composite rows DROPPED per 1.11(a)/(b).
cm_d1_verified_note,methodology verification (Constrained Mobility),henley_passport_access (static_indices) + v2xcl_dmove (vdem); D4 = unhcr_refugees_by_coo + unhcr_asylum_seekers,195 / 173,2025,2026,see shared fragments (Henley RE-PUBLICATION-UNCONFIRMED; V-Dem CC BY 4.0; UNHCR open),"henley=low_risk(more access=less risk); v2xcl_dmove=low_risk(freer=less risk) -- BOTH protective-coded, OK per docs/METHODS.md D1 reading","henley [0,227] visa-free count; v2xcl_dmove [0,1] interval -- absolute-anchored, rule-1 OK",henley 100.0 / v2xcl_dmove 88.7,"NOTE-ROW (verify-only; shared fragments unchanged). D1 (irregular-status/safe-channels) anchor+direction CONFIRMED rule-1/rule-4 conformant: passport-access and freedom-of-movement are protective signals (high=low risk), matching docs/METHODS.md D1 'absence of safe exit' reading. D4 (emigration pressure) carried by UNHCR proxies (partial fit). HOWEVER methods name FOUR generating drivers (D1-D4); D2 (kafala) + D3 (brokerage) are unmapped GAPS (rows below). CONSEQUENCE: the domain currently rests on D1+D4 ONLY -> rule-9 floor (>=50% / >=2 of 4 drivers) is MET (2 of 4) but the domain is LOW-CONFIDENCE; do NOT over-proxy D2/D3 from passport/movement signals. Carry to data-stage review. Henley re-publication rights RE-PUBLICATION-UNCONFIRMED (shared static_indices flag)."
fe_z1_exit_rights_enforcement_belowfloor,methodology verification (Foreclosed Exit),LAI_INDE_NOC_RT_A (ilostat),83,2010,2024,CC BY 4.0 (ILO open data),"register codes low_risk (more inspectors = more enforcement = less risk); methods Z1 defeater attenuate-only, sign-flip WITHHELD (evidence insufficient) -- direction OK on form.","[0,3] inspectors per 10,000 employed -- absolute-anchored, rule-1 OK",42.6,"NOTE-ROW (verify-only; ilostat fragment unchanged). Z1 exit-rights-enforcement proxied by LAI_INDE at 42.6% = BELOW the rule-9 50% coverage floor -> LOW-CONFIDENCE. KEEP-vs-DROP is a data-stage call, pending decision (not decided here). Inspector COUNT is a weak proxy for exit-SPECIFIC enforcement + penalty-free right to resign (docs/METHODS.md §5.1); enforcement-effectiveness evidence gap documented (docs/data-provenance.md). Below-floor: never impute, never missing->0. If dropped, Z1 defeater is unmeasured -> hazard runs un-attenuated (raises domain scores) -- flag the directional consequence for review."
fe_z2_collective_voice_verified_note,methodology verification (Foreclosed Exit),ILR_CBCT_NOC_RT_A + ILR_TUMT_NOC_RT_A (ilostat),99 / 135,2007,2020,CC BY 4.0 (ILO open data),ILOSTAT register codes BOTH low_risk (more CB coverage/union density = less risk). Methods Z2 is a DEFEATER (attenuate-only) where evidenced (agriculture/WSR) -> protective direction is CONSISTENT.,"[0,100] % covered / % unionised -- absolute-anchored, rule-1 OK",ILR_CBCT 50.8 / ILR_TUMT 69.2,"NOTE-ROW (verify-only; ilostat fragment unchanged). Z2 collective-voice anchor+direction CONFIRMED rule-1 conformant. ILR_CBCT at 50.8% sits JUST above the 50% floor -- coverage thin, keep but flag. Z2 as a defeater is SECTOR-RESTRICTED to agriculture/WSR (docs/METHODS.md §5.2); broader extension unevidenced. Suppression face encodes as ABSENCE-of-attenuation (rule-4 forbids mass-adding amplification) -- flagged for review (docs/METHODS.md §9a). The two signals avg equal-weight per rule 2."
fe_z4_governance_scoreonce_note,methodology verification (Foreclosed Exit),wb_wgi_rule_of_law (worldbank) / v2x_rule (vdem) -- SHARED backbone,194 / 173,2024,2025,CC BY 4.0,"low_risk backbone, entered as attenuate-only COMPLEMENT q=1-corruption on the Z1 defeater (docs/METHODS.md §5.4, SPU-r4) -- never hazard-additive.","WGI [-2.5,2.5]; v2x_rule [0,1] -- rule-1 OK (shared)",99.5 / 88.7,"NOTE-ROW (verify-only; worldbank/vdem fragments unchanged). Z4 is the SHARED general-governance signal, SCORED ONCE (governance rules 1-2, rule 8). Placed once as a complement-modulator on Z1 (q=1-corruption). FLAGGED PLACEMENT EXCEPTION (docs/METHODS.md §7/§8): the Z1 dial + its Z4 complement are seated at DOMAIN level (not rule-4-nominal indicator level) precisely to keep the shared signal entered once -- confirm preferred over per-indicator seating (open question). Data-stage correlation/collinearity check (rule 8) governs whether this stays distinct from sibling-domain governance modulators."
